Name,Ticker,Sector,Country,Market_Cap,Revenue,Beta,EBITDA,Free_Cash_Flow,Total_Debt,Total_Cash,Dividend_Yield,Revenue_Growth,ROE,Operating_Margin,Profit_Margin,Debt_to_Equity,Revenue_LC
TRM CORPORATION,TRMB,Technology,United States,15691681792.0,3587300096.0,1.576,717460019.2,430476011.52,3922920448.0,1569168179.2,0.0,0.08,0.12,0.15,0.1,50,3587300096.0
EUTELSAT SA,ETL.PA,Technology,France,2722441328.6400003,1327428034.5600002,-0.237,265485606.9120001,159291364.14720002,680610332.1600001,272244132.864,0.0,0.08,0.12,0.15,0.1,50,1327428034.5600002
CONCENTRIX CORPORATION,CNXC,Technology,United States,1947257088.0,9825770496.0,0.478,1965154099.2,1179092459.52,486814272.0,194725708.8,0.0,0.08,0.12,0.15,0.1,50,9825770496.0
SCHIBSTED ASA,SBBTF,Communication Services,Norway,5715765760.0,6317000192.0,0.926,1263400038.4,758040023.04,1428941440.0,571576576.0,0.0,0.08,0.12,0.15,0.1,50,6317000192.0
LRN CORPORATION,LRN,Consumer Defensive,United States,3682809088.0,2519166976.0,0.118,503833395.2000001,302300037.12,920702272.0,368280908.8,0.0,0.08,0.12,0.15,0.1,50,2519166976.0
EPIROC AB,3AD1.F,Industrials,Sweden,31599560540.160004,0.0,1.115,0.0,0.0,7899890135.040001,3159956054.0160007,0.0,0.08,0.12,0.15,0.1,50,0.0
BENTLEY SYSTEMS INC.,BSY,Technology,United States,10220217344.0,1460018944.0,1.195,292003788.8,175202273.28,2555054336.0,1022021734.4,0.0,0.08,0.12,0.15,0.1,50,1460018944.0
KRAFTON INC.,259960.KS,Communication Services,South Korea,8604026142.72,2268317810.688,1.046,453663562.13760006,272198137.28256,2151006535.68,860402614.272,0.0,0.08,0.12,0.15,0.1,50,2268317810.688
ASSYSTEM SA,BZ1.F,Industrials,France,671536880.64,687312000.0,0.774,137462400.0,82477440.0,167884220.16,67153688.064,0.0,0.08,0.12,0.15,0.1,50,687312000.0
ASICS CORPORATION,7936.T,Consumer Cyclical,Japan,21939843419.3408,5433137115.9552,0.925,1086627423.19104,651976453.914624,5484960854.8352,2193984341.93408,0.0,0.08,0.12,0.15,0.1,50,5433137115.9552
IRON MOUNTAIN INC.,IRM,Real Estate,United States,32180953088.0,6901736960.0,1.179,1380347392.0,828208435.1999999,8045238272.0,3218095308.8,0.0,0.08,0.12,0.15,0.1,50,6901736960.0
INTERDIGITAL INC.,IDCC,Technology,United States,9524325376.0,834014976.0,1.584,166802995.20000002,100081797.12,2381081344.0,952432537.6,0.0,0.08,0.12,0.15,0.1,50,834014976.0
RELX PLC,RELX,Industrials,United Kingdom,54763933696.0,9589999616.0,0.215,1917999923.2,1150799953.92,13690983424.0,5476393369.6,0.0,0.08,0.12,0.15,0.1,50,9589999616.0
SONY CORPORATION,SONY,Technology,Japan,135636205568.0,86923897995.26399,0.699,17384779599.0528,10430867759.43168,33909051392.0,13563620556.8,0.0,0.08,0.12,0.15,0.1,50,13170287575040.0
SHOPIFY INC.,SHOP,Technology,Canada,147650641920.0,11555999744.0,2.822,2311199948.8,1386719969.28,36912660480.0,14765064192.0,0.0,0.08,0.12,0.15,0.1,50,11555999744.0
SYNAPTICS INC.,SYNA,Technology,United States,3314156032.0,1144400000.0,1.68,228880000.0,137328000.0,828539008.0,331415603.20000005,0.0,0.08,0.12,0.15,0.1,50,1144400000.0
UNIC AG,UCG.MI,Financial Services,Italy,118246620856.32,27169559101.44,1.042,5433911820.288001,3260347092.1728,29561655214.08,11824662085.632002,0.0,0.08,0.12,0.15,0.1,50,27169559101.44
STAGWELL INC.,6IY.F,Communication Services,United States,1124628364.8000002,3121485189.1200004,1.516,624297037.8240001,374578222.6944,281157091.20000005,112462836.48000002,0.0,0.08,0.12,0.15,0.1,50,3121485189.1200004
APPIER GROUP INC.,4180.T,Technology,Japan,541661971.2512,293037913.2928,1.12,58607582.65856001,35164549.595136,135415492.8128,54166197.12512,0.0,0.08,0.12,0.15,0.1,50,293037913.2928
ENPHASE ENERGY INC.,ENPH,Technology,United States,5939722240.0,1472984960.0,1.372,294596992.0,176758195.2,1484930560.0,593972224.0,0.0,0.08,0.12,0.15,0.1,50,1472984960.0
SPOTIFY TECHNOLOGY SA,SPOT,Communication Services,Sweden,96533413888.0,17186000896.0,1.666,3437200179.2000003,2062320107.52,24133353472.0,9653341388.8,0.0,0.08,0.12,0.15,0.1,50,17186000896.0
JOHNSON CONTROLS INTERNATIONAL PLC,JCI,Industrials,Ireland,86548176896.0,23967000576.0,1.428,4793400115.2,2876040069.12,21637044224.0,8654817689.6,0.0,0.08,0.12,0.15,0.1,50,23967000576.0
HEICO CORPORATION,HEI,Industrials,United States,47743578112.0,4485044224.0,1.004,897008844.8000001,538205306.88,11935894528.0,4774357811.2,0.0,0.08,0.12,0.15,0.1,50,4485044224.0
Q2 HOLDINGS INC.,QTWO,Technology,United States,3266244864.0,794809024.0,1.369,158961804.8,95377082.88,816561216.0,326624486.40000004,0.0,0.08,0.12,0.15,0.1,50,794809024.0
YOKOGAWA ELECTRIC CORPORATION,YKE.F,Industrials,Japan,7699982929.92,4190066266.079232,0.42,838013253.2158464,502807951.92950785,1924995732.48,769998292.9920001,0.0,0.08,0.12,0.15,0.1,50,634858525163.52
AVEPOINT INC.,AVPT,Technology,United States,2252840448.0,393992992.0,1.109,78798598.4,47279159.04,563210112.0,225284044.8,0.0,0.08,0.12,0.15,0.1,50,393992992.0
UL SOLUTIONS INC.,ULS,Industrials,United States,14177392640.0,3003000064.0,,600600012.8000001,360360007.68,3544348160.0,1417739264.0,0.0,0.08,0.12,0.15,0.1,50,3003000064.0
HTEC GROUP INC.,HTECH.BK,Industrials,Thailand,1044001216.0,1257004928.0,0.04,251400985.6,150840591.35999998,261000304.0,104400121.6,0.0,0.08,0.12,0.15,0.1,50,1257004928.0
ZOETIS INC.,ZTS,Healthcare,United States,55888711680.0,9466999808.0,0.961,1893399961.6,1136039976.96,13972177920.0,5588871168.0,0.0,0.08,0.12,0.15,0.1,50,9466999808.0
HEXAGON AB,HEXA-B.ST,Technology,Sweden,24486625853.44,515337006.08,0.839,103067401.216,61840440.7296,6121656463.36,2448662585.344,0.0,0.08,0.12,0.15,0.1,50,515337006.08
TGS ASA,TGS,Energy,Argentina,4931898880.0,1459292296.5333333,-0.174,291858459.3066667,175115075.58400002,1232974720.0,493189888.0,0.0,0.08,0.12,0.15,0.1,50,1313363066880.0
SPIN MASTER CORPORATION,TOY.TO,Consumer Cyclical,Canada,1495475258.88,1586412047.36,0.648,317282409.472,190369445.6832,373868814.72,149547525.88799998,0.0,0.08,0.12,0.15,0.1,50,1586412047.36
PAR TECHNOLOGY CORPORATION,PAR,Technology,United States,846120064.0,440451008.0,1.292,88090201.60000001,52854120.96,211530016.0,84612006.4,0.0,0.08,0.12,0.15,0.1,50,440451008.0
GRAB HOLDINGS INC.,GRAB,Technology,Singapore,17132909568.0,3369999872.0,0.929,673999974.4000001,404399984.64,4283227392.0,1713290956.8000002,0.0,0.08,0.12,0.15,0.1,50,3369999872.0
DATADOG INC.,DDOG,Technology,United States,43011522560.0,3427158016.0,1.286,685431603.2,411258961.92,10752880640.0,4301152256.0,0.0,0.08,0.12,0.15,0.1,50,3427158016.0
UIPATH INC.,PATH,Technology,United States,5802034176.0,1553111040.0,1.072,310622208.0,186373324.8,1450508544.0,580203417.6,0.0,0.08,0.12,0.15,0.1,50,1553111040.0
RESMED INC.,RMD,Healthcare,United States,37543989248.0,5398118912.0,0.877,1079623782.4,647774269.4399999,9385997312.0,3754398924.8,0.0,0.08,0.12,0.15,0.1,50,5398118912.0
EQUASENS SA,PHF.F,Healthcare,France,565751796.48,242711631.36,0.864,48542326.27200001,29125395.7632,141437949.12,56575179.648,0.0,0.08,0.12,0.15,0.1,50,242711631.36
JONES LANG LASALLE INC.,JLL,Real Estate,United States,13609312256.0,25317799936.0,1.407,5063559987.2,3038135992.32,3402328064.0,1360931225.6,0.0,0.08,0.12,0.15,0.1,50,25317799936.0
SAP AG,SAP,Technology,Germany,234613178368.0,36800000000.0,0.706,7360000000.0,4416000000.0,58653294592.0,23461317836.800003,0.0,0.08,0.12,0.15,0.1,50,36800000000.0
"EXCHANGE HOLDINGS PLC, THE",ICE,Financial Services,United States,87947190272.0,9930999808.0,1.033,1986199961.6,1191719976.96,21986797568.0,8794719027.2,0.0,0.08,0.12,0.15,0.1,50,9930999808.0
RENESAS ELECTRONICS CORPORATION,6723.T,Technology,Japan,36176730993.4592,8852120744.7552,0.734,1770424148.95104,1062254489.370624,9044182748.3648,3617673099.34592,0.0,0.08,0.12,0.15,0.1,50,8852120744.7552
VOYAGEURS DU MONDE SA,8Z4.F,Consumer Cyclical,France,715465267.2,824725808.6400001,0.518,164945161.72800004,98967097.0368,178866316.8,71546526.72000001,0.0,0.08,0.12,0.15,0.1,50,824725808.6400001
EXP WORLD HOLDINGS INC.,EXPI,Real Estate,United States,1194452096.0,4678652928.0,2.1,935730585.6,561438351.36,298613024.0,119445209.6,0.0,0.08,0.12,0.15,0.1,50,4678652928.0
WILLIS TOWERS WATSON PLC,WTW,Financial Services,United Kingdom,28142434304.0,9708000256.0,0.619,1941600051.2,1164960030.72,7035608576.0,2814243430.4,0.0,0.08,0.12,0.15,0.1,50,9708000256.0
N-ABLE INC.,NABL,Technology,United States,974770688.0,497664992.0,0.603,99532998.4,59719799.04,243692672.0,97477068.8,0.0,0.08,0.12,0.15,0.1,50,497664992.0
LIVE NATION ENTERTAINMENT INC.,LYV,Communication Services,United States,36617052160.0,24569493504.0,1.138,4913898700.8,2948339220.48,9154263040.0,3661705216.0,0.0,0.08,0.12,0.15,0.1,50,24569493504.0
ENGHOUSE AG,ENGH.TO,Technology,Canada,695296896.0,369169731.84,0.358,73833946.368,44300367.82079999,173824224.0,69529689.60000001,0.0,0.08,0.12,0.15,0.1,50,369169731.84
SOCIETE D'EDITION DE CANAL PLUS SA,UVA.F,Real Estate,France,548183427.84,113393520.0,0.412,22678704.000000004,13607222.4,137045856.96,54818342.78400001,0.0,0.08,0.12,0.15,0.1,50,113393520.0
NEC CORPORATION,6701.T,Technology,Japan,35764034443.6736,23610390478.848,0.211,4722078095.7696,2833246857.46176,8941008610.9184,3576403444.36736,0.0,0.08,0.12,0.15,0.1,50,23610390478.848
REDDIT INC.,RDDT,Communication Services,United States,26970429440.0,2202505984.0,,440501196.8,264300718.08,6742607360.0,2697042944.0,0.0,0.08,0.12,0.15,0.1,50,2202505984.0
TOYOTA INDUSTRIES CORPORATION,TAH.F,Industrials,Japan,36117230469.12,30145345807.712257,0.58,6029069161.542451,3617441496.925471,9029307617.28,3611723046.9120007,0.0,0.08,0.12,0.15,0.1,50,4567476637532.16
ASSECO SOUTH EASTERN EUROPE SA,7T8.F,Technology,Poland,870472396.8000001,0.0,0.432,0.0,0.0,217618099.2,87047239.68,0.0,0.08,0.12,0.15,0.1,50,0.0
SCHNEIDER ELECTRIC SA,SU.PA,Industrials,France,154441515663.36002,42461280829.44,0.998,8492256165.888,5095353699.5328,38610378915.84,15444151566.336002,0.0,0.08,0.12,0.15,0.1,50,42461280829.44
BASF SE,BAS.DE,Basic Materials,Germany,48793827409.920006,69448321105.92,0.9,13889664221.184,8333798532.7104,12198456852.48,4879382740.992001,0.0,0.08,0.12,0.15,0.1,50,69448321105.92
TRINITY INDUSTRIES INC.,TRN,Industrials,United States,2811927552.0,2156900096.0,1.45,431380019.2000001,258828011.52,702981888.0,281192755.2,0.0,0.08,0.12,0.15,0.1,50,2156900096.0
PEGASYSTEMS INC.,PEGA,Technology,United States,7651951616.0,1745811968.0,1.069,349162393.6,209497436.16,1912987904.0,765195161.6,0.0,0.08,0.12,0.15,0.1,50,1745811968.0
SAVILLS PLC,1YZ.F,Real Estate,United Kingdom,1689699640.3200002,2666088069.1200004,1.29,533217613.8240001,319930568.29440004,422424910.08,168969964.03200004,0.0,0.08,0.12,0.15,0.1,50,2666088069.1200004
JOBY AVIATION INC.,JOBY,Industrials,United States,9545178112.0,22644000.0,2.585,4528800.0,2717280.0,2386294528.0,954517811.2,0.0,0.08,0.12,0.15,0.1,50,22644000.0
SDIPTECH AB,938.F,Industrials,Sweden,707342837.76,0.0,1.441,0.0,0.0,176835709.44,70734283.77600001,0.0,0.08,0.12,0.15,0.1,50,0.0
WARNER MUSIC GROUP CORPORATION,WMG,Communication Services,United States,15255119872.0,6880999936.0,1.237,1376199987.2,825719992.3199999,3813779968.0,1525511987.2,0.0,0.08,0.12,0.15,0.1,50,6880999936.0
LIGHT & WONDER INC.,LNWO,Consumer Cyclical,United States,8203260928.0,3220999936.0,0.379,644199987.2,386519992.32,2050815232.0,820326092.8000001,0.0,0.08,0.12,0.15,0.1,50,3220999936.0
INTEL CORPORATION,INTC,Technology,United States,231326728192.0,52852998144.0,1.377,10570599628.8,6342359777.28,57831682048.0,23132672819.2,0.0,0.08,0.12,0.15,0.1,50,52852998144.0
AGCO CORPORATION,AGCO,Industrials,United States,10357751808.0,10081999872.0,1.169,2016399974.4,1209839984.64,2589437952.0,1035775180.8,0.0,0.08,0.12,0.15,0.1,50,10081999872.0
MOTOROLA INC.,MSI,Technology,United States,77391446016.0,11681999872.0,1.002,2336399974.4,1401839984.64,19347861504.0,7739144601.6,0.0,0.08,0.12,0.15,0.1,50,11681999872.0
SPORTRADAR AG,SRAD,Technology,Switzerland,5003062784.0,1228145024.0,2.008,245629004.8,147377402.88,1250765696.0,500306278.4,0.0,0.08,0.12,0.15,0.1,50,1228145024.0
COSTAR GROUP INC.,CSGP,Real Estate,United States,18868674560.0,3056499968.0,0.85,611299993.6,366779996.16,4717168640.0,1886867456.0,0.0,0.08,0.12,0.15,0.1,50,3056499968.0
BRUKER CORPORATION,BRKR,Healthcare,United States,5720584704.0,3436499968.0,1.18,687299993.6,412379996.16,1430146176.0,572058470.4,0.0,0.08,0.12,0.15,0.1,50,3436499968.0
ELISA OYJ,ELMUY,Communication Services,Finland,8160600576.0,2257100032.0,0.394,451420006.4,270852003.84,2040150144.0,816060057.6,0.0,0.08,0.12,0.15,0.1,50,2257100032.0
"EXPRO INTERNATIONAL GROUP PLC, THE",XPRO,Energy,United States,1867986176.0,1661810944.0,1.184,332362188.8,199417313.28,466996544.0,186798617.6,0.0,0.08,0.12,0.15,0.1,50,1661810944.0
EQUIFAX INC.,EFX,Industrials,United States,23717517312.0,6074500096.0,1.559,1214900019.2,728940011.52,5929379328.0,2371751731.2000003,0.0,0.08,0.12,0.15,0.1,50,6074500096.0
EMBRACER GROUP AB,EMBRAC-B.ST,Communication Services,Sweden,1678933729.28,1901804933.12,0.712,380360986.6240001,228216591.9744,419733432.32,167893372.928,0.0,0.08,0.12,0.15,0.1,50,1901804933.12
"INTERNET CORPORATION LTD, THE",CRCL,Financial Services,United States,15650457600.0,2411777024.0,,482355404.8,289413242.88,3912614400.0,1565045760.0,0.0,0.08,0.12,0.15,0.1,50,2411777024.0
ADK HOLDINGS INC.,ADKO.VI,Financial Services,Austria,531167950.08,298296000.0,0.174,59659200.0,35795520.0,132791987.52,53116795.00800001,0.0,0.08,0.12,0.15,0.1,50,298296000.0
ADDNODE AB,AR7.F,Technology,Sweden,936958993.92,0.0,1.093,0.0,0.0,234239748.48,93695899.39200002,0.0,0.08,0.12,0.15,0.1,50,0.0
DORMAKABA HOLDING AG,KAB0.F,Industrials,Switzerland,3147396341.76,3099707965.44,0.746,619941593.088,371964955.8528,786849085.44,314739634.17600006,0.0,0.08,0.12,0.15,0.1,50,3099707965.44
SENSATA TECHNOLOGIES HOLDING PLC,ST,Technology,United States,5375545344.0,3694307072.0,1.152,738861414.4000001,443316848.64,1343886336.0,537554534.4,0.0,0.08,0.12,0.15,0.1,50,3694307072.0
ALPHA NETWORKS SA,3380.TW,Technology,Taiwan,506317212.672,672165931.008,0.552,134433186.20160002,80659911.72096,126579303.168,50631721.2672,0.0,0.08,0.12,0.15,0.1,50,672165931.008
SOFTWAREONE AG,SWON.SW,Technology,Switzerland,1650585825.2800002,1089531555.8400002,1.48,217906311.16800004,130743786.70080002,412646456.32000005,165058582.52800003,0.0,0.08,0.12,0.15,0.1,50,1089531555.8400002
VONTIER CORPORATION,VNT,Technology,United States,6033983488.0,3075599872.0,1.285,615119974.4,369071984.64,1508495872.0,603398348.8000001,0.0,0.08,0.12,0.15,0.1,50,3075599872.0
AUTODESK INC.,ADSK,Technology,United States,47982510080.0,6888000000.0,1.453,1377600000.0,826560000.0,11995627520.0,4798251008.0,0.0,0.08,0.12,0.15,0.1,50,6888000000.0
DIGITALBRIDGE GROUP INC.,DBRG,Financial Services,United States,3011597056.0,100346000.0,1.684,20069200.0,12041520.0,752899264.0,301159705.6,0.0,0.08,0.12,0.15,0.1,50,100346000.0
CARRIER GLOBAL CORPORATION,CARR,Industrials,United States,55817654272.0,21746999296.0,1.335,4349399859.2,2609639915.52,13954413568.0,5581765427.200001,0.0,0.08,0.12,0.15,0.1,50,21746999296.0
TOPPAN INC.,TPX.F,Industrials,Japan,7929419857.92,12707748350.263296,,2541549670.052659,1524929802.0315955,1982354964.48,792941985.792,0.0,0.08,0.12,0.15,0.1,50,1925416416706.56
INGRAM MICRO INC.,INGRM.IS,Technology,Turkey,10337999872.0,25749831680.0,0.696,5149966336.0,3089979801.6,2584499968.0,1033799987.2,0.0,0.08,0.12,0.15,0.1,50,25749831680.0
VC3 INC.,VC3.F,Industrials,United States,579406867.2,1082711854.0800002,1.305,216542370.81600004,129925422.48960002,144851716.8,57940686.720000006,0.0,0.08,0.12,0.15,0.1,50,1082711854.0800002
EPAM SYSTEMS INC.,EPAM,Technology,United States,9019557888.0,5297859072.0,1.718,1059571814.4,635743088.64,2254889472.0,901955788.8,0.0,0.08,0.12,0.15,0.1,50,5297859072.0
RADNET INC.,RDNT,Healthcare,United States,5504279552.0,1969598976.0,1.49,393919795.2000001,236351877.12,1376069888.0,550427955.2,0.0,0.08,0.12,0.15,0.1,50,1969598976.0
UBER TECHNOLOGIES INC.,UBER,Technology,United States,146135711744.0,52017000448.0,1.206,10403400089.6,6242040053.76,36533927936.0,14613571174.400002,0.0,0.08,0.12,0.15,0.1,50,52017000448.0
IDT CORPORATION,IDT,Communication Services,United States,1223830144.0,1244680960.0,0.766,248936192.0,149361715.2,305957536.0,122383014.4,0.0,0.08,0.12,0.15,0.1,50,1244680960.0
APTIV PLC,APTV,Consumer Cyclical,Switzerland,17988610048.0,20398000128.0,1.5,4079600025.6,2447760015.36,4497152512.0,1798861004.8000002,0.0,0.08,0.12,0.15,0.1,50,20398000128.0
BELDEN INC.,BDC,Technology,United States,5906129920.0,2715194112.0,1.214,543038822.4,325823293.44,1476532480.0,590612992.0,0.0,0.08,0.12,0.15,0.1,50,2715194112.0
OMNICELL INC.,OMCL,Healthcare,United States,1697270656.0,1184845056.0,0.769,236969011.2,142181406.72,424317664.0,169727065.60000002,0.0,0.08,0.12,0.15,0.1,50,1184845056.0
TCS GROUP HOLDING PLC,TCS.F,Industrials,United States,32126657495.04,2762593689.6000004,1.483,552518737.9200001,331511242.75200003,8031664373.76,3212665749.504,0.0,0.08,0.12,0.15,0.1,50,2762593689.6000004
ARAS CORPORATION,TRENJ.IS,Basic Materials,Turkey,28160755712.0,12720701440.0,0.652,2544140288.0,1526484172.8,7040188928.0,2816075571.2000003,0.0,0.08,0.12,0.15,0.1,50,12720701440.0
DESTINY SA/NV,DXYZ,Financial Services,United States,638631360.0,0.0,,0.0,0.0,159657840.0,63863136.0,0.0,0.08,0.12,0.15,0.1,50,0.0
"JASNITA TELEKOMINDO TBK, PT",JAST.JK,Communication Services,Indonesia,111505301504.0,197490835456.0,0.067,39498167091.200005,23698900254.72,27876325376.0,11150530150.400002,0.0,0.08,0.12,0.15,0.1,50,197490835456.0
LECTRA SA,LSS.PA,Technology,France,809017873.9200001,547272737.2800001,0.906,109454547.45600004,65672728.47360001,202254468.48,80901787.39200002,0.0,0.08,0.12,0.15,0.1,50,547272737.2800001
"REAL BROKERAGE INC., THE",REAX,Real Estate,United States,557034048.0,1813906944.0,0.956,362781388.8,217668833.28,139258512.0,55703404.8,0.0,0.08,0.12,0.15,0.1,50,1813906944.0
BETSSON AB,BETS-B.ST,Consumer Cyclical,Sweden,1177582571.52,113714993.92,0.439,22742998.784,13645799.2704,294395642.88,117758257.152,0.0,0.08,0.12,0.15,0.1,50,113714993.92
AGILYSYS INC.,AGYS,Technology,United States,2262995200.0,310638016.0,0.327,62127603.2,37276561.92,565748800.0,226299520.0,0.0,0.08,0.12,0.15,0.1,50,310638016.0
VAISALA OYJ,VAIAS.HE,Technology,Finland,1769894461.44,644651965.44,0.738,128930393.088,77358235.8528,442473615.36,176989446.14400002,0.0,0.08,0.12,0.15,0.1,50,644651965.44
TOTECH CORPORATION,9960.T,Technology,Japan,1157490288.2304,1130497705.5744,0.406,226099541.11488,135659724.668928,289372572.0576,115749028.82304,0.0,0.08,0.12,0.15,0.1,50,1130497705.5744
MORNINGSTAR INC.,MORN,Financial Services,United States,6702885888.0,2445499904.0,1.085,489099980.8,293459988.48,1675721472.0,670288588.8000001,0.0,0.08,0.12,0.15,0.1,50,2445499904.0
KINAXIS INC.,9KX.F,Technology,Canada,2296305884.1600003,569948382.72,0.875,113989676.544,68393805.9264,574076471.0400001,229630588.41600004,0.0,0.08,0.12,0.15,0.1,50,569948382.72
MAGNA INTERNATIONAL INC.,MGA,Consumer Cyclical,Canada,18775351296.0,42010001408.0,1.72,8402000281.6,5041200168.96,4693837824.0,1877535129.6,0.0,0.08,0.12,0.15,0.1,50,42010001408.0
W.A.G PAYMENT SOLUTIONS PLC,WAB,Industrials,United States,44642050048.0,11166999552.0,1.015,2233399910.4,1340039946.24,11160512512.0,4464205004.8,0.0,0.08,0.12,0.15,0.1,50,11166999552.0
SOCIETE BIC SA,BIF.F,Consumer Defensive,France,2477654507.52,2304676730.88,-0.078,460935346.17600006,276561207.7056,619413626.88,247765450.752,0.0,0.08,0.12,0.15,0.1,50,2304676730.88
WSP GLOBAL INC.,1W3.F,Industrials,Canada,20522889216.0,19543464345.6,0.65,3908692869.120001,2345215721.472,5130722304.0,2052288921.6,0.0,0.08,0.12,0.15,0.1,50,19543464345.6
CLEARWATER ANALYTICS HOLDINGS INC.,CWAN,Technology,United States,6778868736.0,640376000.0,0.66,128075200.0,76845120.0,1694717184.0,677886873.6,0.0,0.08,0.12,0.15,0.1,50,640376000.0
VERCOM SA,14W.F,Technology,Poland,739247800.32,0.0,0.455,0.0,0.0,184811950.08,73924780.032,0.0,0.08,0.12,0.15,0.1,50,0.0
WORKIVA INC.,WK,Technology,United States,3270581504.0,845521984.0,0.61,169104396.8,101462638.08,817645376.0,327058150.40000004,0.0,0.08,0.12,0.15,0.1,50,845521984.0
AMERICAN TOWER CORPORATION,AMT,Real Estate,United States,90121969664.0,10454700032.0,0.944,2090940006.4,1254564003.84,22530492416.0,9012196966.4,0.0,0.08,0.12,0.15,0.1,50,10454700032.0
MITEK INC.,MITK,Technology,United States,617660992.0,186680992.0,1.078,37336198.4,22401719.04,154415248.0,61766099.2,0.0,0.08,0.12,0.15,0.1,50,186680992.0
SOFTWARE AG,U,Technology,United States,7988431360.0,1849648000.0,2.085,369929600.0,221957760.0,1997107840.0,798843136.0,0.0,0.08,0.12,0.15,0.1,50,1849648000.0
ALLFUNDS GROUP PLC,ALLFG.AS,Financial Services,United Kingdom,5383960289.280001,720383777.2800001,1.099,144076755.45600003,86446053.27360001,1345990072.3200002,538396028.9280001,0.0,0.08,0.12,0.15,0.1,50,720383777.2800001
KARNOV GROUP AB,3UA.F,Industrials,Sweden,759143301.12,0.0,0.73,0.0,0.0,189785825.28,75914330.112,0.0,0.08,0.12,0.15,0.1,50,0.0
LEIDOS HOLDINGS INC.,LDOS,Technology,United States,21425655808.0,17332000768.0,0.62,3466400153.6000004,2079840092.16,5356413952.0,2142565580.8,0.0,0.08,0.12,0.15,0.1,50,17332000768.0
AMETEK INC.,AME,Industrials,United States,53710651392.0,7401116160.0,1.036,1480223232.0,888133939.1999999,13427662848.0,5371065139.200001,0.0,0.08,0.12,0.15,0.1,50,7401116160.0
QUALCOMM INC.,QCOM,Technology,United States,151411408896.0,44866998272.0,1.238,8973399654.4,5384039792.639999,37852852224.0,15141140889.6,0.0,0.08,0.12,0.15,0.1,50,44866998272.0
EQUINIX INC.,EQIX,Real Estate,United States,93556375552.0,9260000256.0,1.067,1852000051.2,1111200030.72,23389093888.0,9355637555.2,0.0,0.08,0.12,0.15,0.1,50,9260000256.0
DIGITALOCEAN HOLDINGS INC.,DOCN,Technology,United States,6169315328.0,863961984.0,1.766,172792396.8,103675438.08,1542328832.0,616931532.8000001,0.0,0.08,0.12,0.15,0.1,50,863961984.0
NETWORK APPLIANCE INC.,NTAP,Technology,United States,20125526016.0,6637000192.0,1.387,1327400038.4,796440023.04,5031381504.0,2012552601.6,0.0,0.08,0.12,0.15,0.1,50,6637000192.0
CAE INC.,CAE,Industrials,Canada,9887466496.0,4862700032.0,1.158,972540006.4,583524003.84,2471866624.0,988746649.6,0.0,0.08,0.12,0.15,0.1,50,4862700032.0
SES SA,SES,Consumer Cyclical,United States,606019072.0,18478000.0,0.579,3695600.0,2217360.0,151504768.0,60601907.2,0.0,0.08,0.12,0.15,0.1,50,18478000.0
INFORMATION HOLDINGS INC.,FIS,Technology,United States,24917458944.0,10464000000.0,0.9,2092800000.0,1255680000.0,6229364736.0,2491745894.4,0.0,0.08,0.12,0.15,0.1,50,10464000000.0
FLUTTER ENTERTAINMENT PLC,FLUT,Consumer Cyclical,United States,21964382208.0,15438000128.0,1.142,3087600025.6000004,1852560015.36,5491095552.0,2196438220.8,0.0,0.08,0.12,0.15,0.1,50,15438000128.0
ZEBRA TECHNOLOGIES CORPORATION,ZBRA,Technology,United States,13345933312.0,5395999744.0,1.656,1079199948.8,647519969.28,3336483328.0,1334593331.2,0.0,0.08,0.12,0.15,0.1,50,5395999744.0
MEDTRONIC PLC,MDT,Healthcare,Ireland,124753649664.0,34758000640.0,0.718,6951600128.0,4170960076.8,31188412416.0,12475364966.400002,0.0,0.08,0.12,0.15,0.1,50,34758000640.0
PARTNERS GROUP AG,EPD,Energy,United States,79670280192.0,52595998720.0,0.584,10519199744.0,6311519846.4,19917570048.0,7967028019.200001,0.0,0.08,0.12,0.15,0.1,50,52595998720.0
SOFI TECHNOLOGIES INC.,SOFI,Financial Services,United States,24704507904.0,3583034880.0,2.178,716606976.0,429964185.6,6176126976.0,2470450790.4,0.0,0.08,0.12,0.15,0.1,50,3583034880.0
"NEWS CORPORATION LTD, THE",NMAX,Communication Services,United States,706336256.0,184690272.0,,36938054.4,22162832.64,176584064.0,70633625.60000001,0.0,0.08,0.12,0.15,0.1,50,184690272.0
TELSTRA CORPORATION LTD,TLS.AX,Communication Services,Australia,36769880801.28,15262500126.72,0.171,3052500025.3440003,1831500015.2064,9192470200.32,3676988080.128,0.0,0.08,0.12,0.15,0.1,50,15262500126.72
NETMARBLE CORPORATION,251270.KS,Communication Services,South Korea,3514992820.224,2014854119.424,1.143,402970823.8848,241782494.33088,878748205.056,351499282.0224,0.0,0.08,0.12,0.15,0.1,50,2014854119.424
TELEFONAKTIEBOLAGET LM ERICSSON AB,ERIC-B.ST,Technology,Sweden,31628819169.28,22484695285.76,0.562,4496939057.152,2698163434.2912,7907204792.32,3162881916.928,0.0,0.08,0.12,0.15,0.1,50,22484695285.76
DOORDASH INC.,DASH,Consumer Cyclical,United States,69821759488.0,12634999808.0,1.795,2526999961.6,1516199976.96,17455439872.0,6982175948.8,0.0,0.08,0.12,0.15,0.1,50,12634999808.0
